wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
4581.00,4.48129e-18,4.34066e-18,1.68275e-17,4.34066e-18
4581.25,1.43782e-18,4.36241e-18,1.40302e-17,4.36241e-18
4581.50,-1.28115e-18,4.36545e-18,1.13158e-17,4.36545e-18
4581.75,5.27354e-18,4.34570e-18,1.75738e-17,4.34570e-18
4582.00,4.55470e-18,4.32082e-18,1.64989e-17,4.32082e-18
4582.25,4.69472e-18,4.31239e-18,1.65230e-17,4.31239e-18
4582.50,4.38267e-18,4.30503e-18,1.61111e-17,4.30503e-18
4582.75,4.18629e-18,4.29756e-18,1.58133e-17,4.29756e-18
4583.00,5.08798e-18,4.28973e-18,1.66085e-17,4.28973e-18
4583.25,6.50254e-18,4.30781e-18,1.82876e-17,4.30781e-18
4583.50,5.05341e-18,4.34173e-18,1.73331e-17,4.34173e-18
4583.75,8.63814e-18,4.37454e-18,2.14004e-17,4.37454e-18
4584.00,9.97965e-18,4.40421e-18,2.31819e-17,4.40421e-18
4584.25,3.74231e-18,4.42797e-18,1.73002e-17,4.42797e-18
4584.50,1.03071e-17,4.42130e-18,2.37721e-17,4.42130e-18
4584.75,9.91111e-18,4.36269e-18,2.25228e-17,4.36269e-18
4585.00,4.92321e-18,4.30975e-18,1.67742e-17,4.30975e-18
4585.25,2.78530e-18,4.27277e-18,1.41119e-17,4.27277e-18
4585.50,6.26781e-18,4.25833e-18,1.73939e-17,4.25833e-18
4585.75,8.61254e-18,4.26330e-18,1.98141e-17,4.26330e-18
4586.00,1.05722e-17,4.28671e-18,2.21127e-17,4.28671e-18
4586.25,6.44986e-18,4.30862e-18,1.83095e-17,4.30862e-18
4586.50,3.20046e-18,4.32242e-18,1.52638e-17,4.32242e-18
4586.75,2.88935e-18,4.32816e-18,1.50404e-17,4.32816e-18
4587.00,5.96284e-18,4.33542e-18,1.82236e-17,4.33542e-18
4587.25,5.48147e-18,4.33699e-18,1.77699e-17,4.33699e-18
4587.50,2.81108e-18,4.32137e-18,1.48784e-17,4.32137e-18
4587.75,1.95718e-18,4.31326e-18,1.39126e-17,4.31326e-18
4588.00,3.40545e-18,4.31523e-18,1.53943e-17,4.31523e-18
4588.25,7.03555e-18,4.32531e-18,1.91752e-17,4.32531e-18
4588.50,-1.53021e-18,4.29938e-18,1.02412e-17,4.29938e-18
4588.75,3.91874e-18,4.27238e-18,1.53090e-17,4.27238e-18
4589.00,2.39181e-18,4.25603e-18,1.35552e-17,4.25603e-18
4589.25,6.26733e-19,4.24863e-18,1.16917e-17,4.24863e-18
4589.50,6.75726e-18,4.24689e-18,1.78047e-17,4.24689e-18
4589.75,7.78996e-18,4.24677e-18,1.88434e-17,4.24677e-18
4590.00,3.07127e-18,4.24930e-18,1.41688e-17,4.24930e-18
4590.25,4.60202e-18,4.26114e-18,1.58768e-17,4.26114e-18
4590.50,7.35021e-18,4.28572e-18,1.89855e-17,4.28572e-18
4590.75,8.38390e-18,4.32205e-18,2.05517e-17,4.32205e-18
4591.00,1.13756e-17,4.35035e-18,2.39632e-17,4.35035e-18
4591.25,7.47323e-18,4.31882e-18,1.96123e-17,4.31882e-18
4591.50,9.54843e-18,4.28296e-18,2.11800e-17,4.28296e-18
4591.75,8.59618e-18,4.25644e-18,1.98570e-17,4.25644e-18
4592.00,3.83197e-18,4.24448e-18,1.49305e-17,4.24448e-18
4592.25,5.71605e-18,4.24199e-18,1.67863e-17,4.24199e-18
4592.50,3.39007e-18,4.24168e-18,1.44609e-17,4.24168e-18
4592.75,7.07505e-18,4.24159e-18,1.81476e-17,4.24159e-18
4593.00,8.04574e-18,4.24161e-18,1.91201e-17,4.24161e-18
4593.25,5.09397e-18,4.24165e-18,1.61703e-17,4.24165e-18
4593.50,-1.07314e-18,4.24160e-18,1.00053e-17,4.24160e-18
4593.75,-4.61583e-18,4.24144e-18,6.46521e-18,4.24144e-18
4594.00,2.25086e-18,4.24114e-18,1.33337e-17,4.24114e-18
4594.25,3.74380e-18,4.24084e-18,1.48285e-17,4.24084e-18
4594.50,3.21614e-18,4.24053e-18,1.43027e-17,4.24053e-18
4594.75,6.65765e-18,4.24022e-18,1.77460e-17,4.24022e-18
4595.00,6.38096e-18,4.23999e-18,1.74721e-17,4.23999e-18
4595.25,6.67903e-18,4.23967e-18,1.77719e-17,4.23967e-18
4595.50,6.54750e-18,4.23934e-18,1.76422e-17,4.23934e-18
4595.75,5.36571e-18,4.23900e-18,1.64621e-17,4.23900e-18
4596.00,3.07863e-18,4.23864e-18,1.41766e-17,4.23864e-18
4596.25,4.78827e-18,4.23832e-18,1.58886e-17,4.23832e-18
4596.50,5.51614e-18,4.23793e-18,1.66183e-17,4.23793e-18
4596.75,1.11103e-18,4.23750e-18,1.22146e-17,4.23750e-18
4597.00,1.57307e-18,4.23704e-18,1.26781e-17,4.23704e-18
4597.25,8.29251e-18,4.23655e-18,1.93989e-17,4.23655e-18
4597.50,5.98289e-18,4.23611e-18,1.70912e-17,4.23611e-18
4597.75,7.58717e-18,4.23564e-18,1.86973e-17,4.23564e-18
4598.00,9.30277e-18,4.23513e-18,2.04142e-17,4.23513e-18
4598.25,1.11504e-17,4.23461e-18,2.22632e-17,4.23461e-18
4598.50,1.12101e-17,4.23410e-18,2.23242e-17,4.23410e-18
4598.75,4.07813e-18,4.23362e-18,1.51939e-17,4.23362e-18
4599.00,3.25124e-19,4.23318e-18,1.14430e-17,4.23318e-18
4599.25,2.40021e-18,4.23269e-18,1.35194e-17,4.23269e-18
4599.50,4.72474e-18,4.23222e-18,1.58453e-17,4.23222e-18
4599.75,6.13527e-18,4.23177e-18,1.72573e-17,4.23177e-18
4600.00,5.74764e-18,4.23133e-18,1.68711e-17,4.23133e-18
4600.25,6.90003e-18,4.23098e-18,1.80259e-17,4.23098e-18
4600.50,5.74455e-18,4.23056e-18,1.68720e-17,4.23056e-18
4600.75,9.26230e-18,4.23014e-18,2.03913e-17,4.23014e-18
4601.00,8.52099e-18,4.22972e-18,1.96516e-17,4.22972e-18
4601.25,-2.53914e-18,4.22930e-18,8.59307e-18,4.22930e-18
4601.50,1.90357e-18,4.22895e-18,1.30383e-17,4.22895e-18
4601.75,5.67149e-18,4.22854e-18,1.68081e-17,4.22854e-18
4602.00,6.99431e-18,4.22811e-18,1.81326e-17,4.22811e-18
4602.25,8.27148e-18,4.22767e-18,1.94114e-17,4.22767e-18
4602.50,9.64242e-18,4.22722e-18,2.07840e-17,4.22722e-18
4602.75,5.25084e-18,4.22682e-18,1.63947e-17,4.22682e-18
4603.00,6.04931e-18,4.22640e-18,1.71952e-17,4.22640e-18
4603.25,1.31081e-18,4.22592e-18,1.24583e-17,4.22592e-18
4603.50,4.36362e-19,4.22543e-18,1.15855e-17,4.22543e-18
4603.75,2.60001e-18,4.22493e-18,1.37507e-17,4.22493e-18
4604.00,-1.86784e-18,4.22444e-18,9.28477e-18,4.22444e-18
4604.25,3.47631e-18,4.22391e-18,1.46313e-17,4.22391e-18
4604.50,2.86330e-18,4.22294e-18,1.40199e-17,4.22294e-18
4604.75,4.81048e-18,4.22120e-18,1.59687e-17,4.22120e-18
4605.00,6.17673e-18,4.21861e-18,1.73365e-17,4.21861e-18
4605.25,5.77197e-19,4.21511e-18,1.17386e-17,4.21511e-18
4605.50,6.53827e-18,4.21151e-18,1.77024e-17,4.21151e-18
4605.75,4.85672e-18,4.20987e-18,1.60224e-17,4.20987e-18
4606.00,1.91629e-18,4.20880e-18,1.30834e-17,4.20880e-18
4606.25,1.20371e-18,4.20809e-18,1.23721e-17,4.20809e-18
4606.50,5.30117e-18,4.20752e-18,1.64706e-17,4.20752e-18
